create table Funcionario (
	matricula INT,
	nome VARCHAR(50)
);
insert into Funcionario (matricula, nome) values (1, 'Alexio Hulburt');
insert into Funcionario (matricula, nome) values (2, 'Mercie Ingledew');
insert into Funcionario (matricula, nome) values (3, 'Elroy Zanotti');
insert into Funcionario (matricula, nome) values (4, 'Karylin Agronski');
insert into Funcionario (matricula, nome) values (5, 'Sherwynd Petrashkov');
insert into Funcionario (matricula, nome) values (6, 'Norrie Bigg');
insert into Funcionario (matricula, nome) values (7, 'Janot Cracie');
insert into Funcionario (matricula, nome) values (8, 'Henryetta Marlon');
insert into Funcionario (matricula, nome) values (9, 'Prinz Snaden');
insert into Funcionario (matricula, nome) values (10, 'Tailor Worgen');

Alter Table  Funcionario Add Primary Key (matricula);



-- Produto


create table Produto (
	sku VARCHAR(50),
	modelo VARCHAR(50),
	marca VARCHAR(50),
	preco DECIMAL(6,2),
	descricao VARCHAR(26),
	nome VARCHAR(21)
);
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('83-762', 'Suburban 1500', 'Chevrolet', 408.61, 'Lorem ipsum dolor sit amet', 'pastilha de freio');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('69-625', 'Thunderbird', 'Ford', 189.41, 'Lorem ipsum dolor sit amet', 'bieleta');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('45-850', 'Q7', 'Audi', 238.68, 'Lorem ipsum dolor sit amet', 'embreagem');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('50-568', 'Camaro', 'Chevrolet', 458.15, 'Lorem ipsum dolor sit amet', 'farol');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('83-576', 'Escort', 'Ford', 761.62, 'Lorem ipsum dolor sit amet', 'oleo');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('49-494', 'Suburban 1500', 'GMC', 896.81, 'Lorem ipsum dolor sit amet', 'filtro de oleo');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('92-524', 'Sentra', 'Nissan', 84.02, 'Lorem ipsum dolor sit amet', 'lanterna');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('98-872', 'FX', 'Infiniti', 371.95, 'Lorem ipsum dolor sit amet', 'amortecedor dianteiro');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('13-500', 'Touareg', 'Volkswagen', 576.92, 'Lorem ipsum dolor sit amet', 'amortecedor traseiro');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('10-698', 'Echo', 'Toyota', 416.6, 'Lorem ipsum dolor sit amet', 'mola dianteira');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('77-215', 'Yukon XL 2500', 'GMC', 302.77, 'Lorem ipsum dolor sit amet', 'mola traseira');
alter table produto Add Primary Key (sku);



-- Estoque

create table Estoque (
	sku VARCHAR(50),
	modelo VARCHAR(50),
	marca VARCHAR(50),
	preco DECIMAL(6,2),
	descricao VARCHAR(26),
	nome VARCHAR(21)
);
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('28-732', 'Golf', 'Volkswagen', 630.27, 'Lorem ipsum dolor sit amet', 'pastilha de freio');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('97-947', 'Insight', 'Honda', 466.73, 'Lorem ipsum dolor sit amet', 'bieleta');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('34-616', '2500', 'GMC', 142.73, 'Lorem ipsum dolor sit amet', 'embreagem');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('91-612', 'Liberty', 'Jeep', 575.93, 'Lorem ipsum dolor sit amet', 'farol');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('42-662', 'Legacy', 'Subaru', 274.59, 'Lorem ipsum dolor sit amet', 'oleo');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('34-737', 'B-Series', 'Mazda', 643.19, 'Lorem ipsum dolor sit amet', 'filtro de oleo');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('32-860', 'Fiesta', 'Ford', 755.04, 'Lorem ipsum dolor sit amet', 'lanterna');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('62-615', '8 Series', 'BMW', 275.46, 'Lorem ipsum dolor sit amet', 'amortecedor dianteiro');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('68-174', 'Fleetwood', 'Cadillac', 552.32, 'Lorem ipsum dolor sit amet', 'amortecedor traseiro');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('78-412', 'GTO', 'Pontiac', 219.09, 'Lorem ipsum dolor sit amet', 'mola dianteira');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('71-025', 'Mazda6', 'Mazda', 81.07, 'Lorem ipsum dolor sit amet', 'mola traseira');
 Alter table Estoque add primary key (sku);



-- Cliente

create table Cliente (
	id VARCHAR(40),
	cpf VARCHAR(50),
	nome VARCHAR(50),
	data_nascimento DATE,
	data_cadastro DATE,
	sexo VARCHAR(50),
	numero INT,
	estado VARCHAR(19),
	municipio VARCHAR(5),
	logradouro VARCHAR(5),
	bairro VARCHAR(5)
);
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('cc39e062-dc46-4c3f-a70e-d4576e59aae2', '67256048253', 'Domenico Warkup', '08/04/2000', '11/02/2022', 'F', 25, 'Maranhão', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7a331b35-4dbe-4bf5-8967-8df48a68854a', '37832173903', 'Milicent Lyenyng', '04/09/1977', '26/04/2020', 'F', 41, 'Mato Grosso', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('2208751c-743c-4df3-a633-9860f21cb81d', '37071604489', 'Penelope Mariot', '27/08/1992', '11/10/2022', 'M', 32, 'Paraíba', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('3b40dd6a-9576-471a-b024-f04c5e87c4d8', '81221347040', 'Timmy Ipsley', '04/08/1977', '08/03/2022', 'M', 33, 'Sergipe', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('6ad60773-867b-40aa-ab85-092a5649bf7b', '87864384217', 'Blisse Leftridge', '20/09/1986', '25/11/2020', 'F', 7, 'Alagoas', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('be968c58-dbde-495b-b11c-4094ebd6c763', '12086001407', 'Annabal Soot', '24/05/1984', '22/11/2021', 'M', 57, 'Ceará', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a2de2af0-2583-4333-9756-e42e7f2e1f2f', '89373522474', 'Adrianne Barney', '03/01/2002', '15/05/2022', 'M', 70, 'Maranhão', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('0ac531c4-004e-490e-9a0a-d545eb6e9c04', '29156108413', 'Van Willacot', '04/04/2002', '19/07/2022', 'F', 11, 'Roraima', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7379ccfa-1308-4457-bf1c-11eb8cd848ab', '81901345778', 'Arlen Domini', '27/08/2016', '15/09/2022', 'F', 95, 'Amapá', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('f2fe23ea-dd46-4632-988a-1a73943ba1a9', '40801600282', 'Ewell Toffolini', '27/11/2017', '01/09/2022', 'M', 27, 'Ceará', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('421d162d-6bae-40d5-8b3b-01262efe5e6c', '89149740567', 'Dulcia O''Sheils', '20/05/2017', '02/11/2021', 'M', 56, 'Mato Grosso do Sul', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a2849994-8ba5-44da-91ef-f6f655f69694', '49560112855', 'Milicent Macvain', '05/12/1981', '04/09/2020', 'F', 87, 'Acre', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('856ce0e3-ab36-4dff-a2b5-3483abfd9e0b', '86037335339', 'Guillaume Longlands', '02/04/2002', '18/02/2020', 'F', 32, 'Acre', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('c1bbd365-ceeb-4b18-8bb6-67f4246bc4c4', '48159979746', 'Chickie Van Halle', '09/06/1970', '02/05/2021', 'M', 27, 'Roraima', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('2b1390ac-f2cc-4d99-b070-da81722d51da', '89515670291', 'Clementia Cella', '10/10/2011', '12/03/2020', 'F', 21, 'Minas Gerais', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b42c20a9-21cf-485b-a9c4-b4d9d4c11728', '98175945396', 'Billie Todarello', '09/08/1968', '06/05/2021', 'M', 80, 'Paraná', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b146f139-5bb0-46e0-85ed-707e70bfb9f0', '87201686557', 'Joanie Couthard', '25/10/1941', '04/09/2022', 'M', 62, 'Ceará', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('3aada60a-434f-490f-94d6-c6dbac09e5ce', '05274590168', 'Courtenay Imlach', '22/08/2004', '28/06/2022', 'M', 60, 'Roraima', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7e67dd55-50c7-421d-8c7d-8c2185e45744', '61208799788', 'Juliann Paulson', '27/06/1965', '22/11/2021', 'M', 67, 'Roraima', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('448dd49e-2fc8-43fd-a985-33e82a6a4f21', '00803290427', 'Addie Voase', '27/02/1952', '03/09/2022', 'M', 40, 'Ceará', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('3e833d42-c536-4119-9242-a43fa41fc4c5', '48907356767', 'Taite Matlock', '21/03/1944', '26/01/2020', 'M', 1, 'Mato Grosso do Sul', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('24b2519b-d6f1-4fd7-b2d5-25598d5b3722', '88164026740', 'Kasey Tulloch', '07/12/1958', '18/09/2020', 'F', 1, 'Amazonas', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a8202b39-008c-4818-9ee4-1470429e1c69', '16580853438', 'Merola Hanhart', '24/05/1973', '09/07/2022', 'F', 75, 'Mato Grosso', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b99171de-c6f9-467f-9a00-8db27f678f6b', '24504020838', 'Charmain Pitblado', '05/12/1977', '13/04/2022', 'F', 37, 'Piauí', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('49b53f77-0a77-45d9-b167-3cdd55f2f017', '98574896834', 'Worthy Vallantine', '27/07/1970', '09/09/2021', 'M', 19, 'Maranhão', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('d826fa1c-f2f4-44ec-a8b8-1022700da319', '70168362085', 'Heda Maneylaws', '27/11/2015', '15/09/2022', 'F', 84, 'Alagoas', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b6f81355-c41d-4890-a47c-b321709c2c78', '96398439258', 'Annamaria Refford', '02/06/1969', '16/04/2020', 'M', 90, 'Acre', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('e96377a6-18a1-438b-aa13-e9ee6179a530', '61304751760', 'Giacomo Jeram', '10/09/1952', '16/03/2021', 'M', 10, 'Amazonas', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('e0a6daed-7684-4b7c-b8ed-a95e3b8ed147', '32837048062', 'Thoma Kimmitt', '31/03/2008', '29/06/2020', 'M', 14, 'Mato Grosso', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b43b8279-0e31-4235-9f4b-178a07f9a067', '20241811832', 'Viviyan Starr', '12/01/1997', '18/01/2021', 'M', 56, 'Mato Grosso do Sul', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('fd3e6265-5230-4669-b9e6-e23f6525ef9f', '51030030868', 'Virgie Leipelt', '03/06/1988', '13/08/2022', 'F', 21, 'Minas Gerais', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('4d8bc7fa-4337-4a2f-8afd-a7428aae689c', '56911477645', 'Mark Theobalds', '13/06/1960', '31/10/2021', 'M', 94, 'Goiás', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('be91aec2-6d9a-4bfc-a887-0d9ba37e0eb1', '69379834153', 'Myrna MacGillivray', '02/11/1989', '02/10/2020', 'M', 11, 'Minas Gerais', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('6110a605-b82a-4cd6-bd85-8ad522b0e5ba', '94198040976', 'Malvina Rheaume', '30/12/2006', '06/03/2021', 'M', 38, 'Alagoas', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a6e90139-13a9-44f6-9a06-8ef829065204', '51175254080', 'Wright Shemming', '01/04/1979', '17/10/2021', 'F', 58, 'Maranhão', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('d89643ce-eb67-4601-9ebe-1e0171dceb00', '08510022120', 'Filberto Braunds', '14/12/1953', '20/02/2020', 'M', 72, 'Tocantins', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('e4d6695f-89fe-4df5-9ee8-e27f21f0ba0f', '38718816608', 'Asia Stoner', '27/03/1942', '08/06/2020', 'M', 25, 'Rio Grande do Norte', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('547a71ae-37fe-48bb-8747-0f6ee10b49da', '62406081329', 'Collie Gurney', '02/11/2002', '06/06/2021', 'M', 57, 'Bahia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('0d157f16-d5ab-47fa-b939-3c5e5c2d9f1c', '60844181021', 'Berni Crowcher', '24/05/1991', '23/03/2020', 'M', 15, 'Sergipe', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('3b59f23a-9500-4c4a-b2c2-67a71684683f', '03173708844', 'Washington Frenzl', '30/12/1962', '27/09/2020', 'F', 48, 'Rondonia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('6a0e7df7-7cc5-4701-bf48-146fe6a0d613', '74151997263', 'Floyd Dudny', '18/03/1975', '09/09/2022', 'M', 61, 'Paraíba', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('676babde-9c3b-45b3-a75c-3a84ff7affa1', '85506533044', 'Heall Virgoe', '06/06/2022', '15/05/2020', 'F', 32, 'Alagoas', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('dc4c1848-c838-4774-9432-7859097d8681', '35738400670', 'Ernestus Fake', '25/09/1953', '17/07/2021', 'M', 38, 'Paraná', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('0a523f76-9b55-461f-977f-9ac1bc8a4d37', '28179527328', 'Kermy Woffinden', '14/06/2008', '19/04/2022', 'F', 55, 'Amapá', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7fc1308c-7d61-4171-866a-bbfc8b8df564', '13347836185', 'Gisele Cavet', '28/04/1942', '02/12/2021', 'M', 29, 'Espírito Santo', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('29e20d81-562d-4e2b-9802-0c7c83daa787', '96757527328', 'Kelcey Asquith', '25/12/1992', '11/12/2021', 'M', 99, 'Minas Gerais', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('cf093b17-a818-4b9a-8c39-1264b70514ba', '39323544891', 'Chester Bartolomeo', '14/04/1959', '14/03/2021', 'M', 96, 'Tocantins', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('0e7f6a17-a085-47e0-ada3-d90766764b0d', '40172203497', 'Adoree Lorroway', '07/03/2002', '28/05/2022', 'F', 63, 'Amazonas', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('49189d28-fc61-4ae2-a593-44d9d655e68c', '32871392341', 'Pippa Gyde', '10/05/2022', '10/02/2020', 'M', 12, 'Rondonia', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('206a6950-99c5-4f1b-9b65-9c6668897d30', '23092638742', 'Luciana Haet', '10/11/1949', '13/04/2021', 'M', 23, 'Paraíba', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('5b035a66-5993-4142-a029-0478a8315931', '74468983067', 'Verne Hubble', '03/02/1972', '26/05/2022', 'F', 4, 'Paraná', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('f170a4c1-d672-4497-aaac-775f7ac9fa52', '35677639221', 'Al Kinchlea', '16/06/1987', '03/01/2020', 'M', 72, 'Minas Gerais', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('e44129b2-9244-46fa-a01d-3f1aa34fbd5d', '28037196393', 'Melvin D''Hooghe', '17/05/1976', '16/08/2021', 'F', 0, 'Rondonia', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('20676ba2-2b80-4718-9553-457bc95f6750', '36797219518', 'Gabrila Facer', '26/07/1953', '02/04/2021', 'F', 88, 'Bahia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('4f030976-1f26-44a7-b11f-18f85317db22', '24592914450', 'Tommy Fernandes', '03/10/2008', '17/02/2022', 'F', 66, 'Amapá', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7a0f594b-7d36-4c87-8599-590597e7276a', '95998232301', 'Angil Sherrott', '05/02/1981', '07/04/2020', 'M', 48, 'Acre', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('5036d7fe-450d-4ad3-b6bb-306a43e5473f', '43243184997', 'Bale Oseman', '04/10/2009', '26/11/2021', 'M', 80, 'Rio Grande do Sul', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('5a644dd4-8a6f-4190-8f42-12f04b7dc759', '83205254824', 'Rosalinde Jardein', '19/07/1963', '09/03/2021', 'M', 82, 'Goiás', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('e4c830b4-4ee0-463f-a09e-73ae7508fc50', '06963985413', 'Vitoria Winkett', '01/04/1987', '15/10/2021', 'F', 20, 'Mato Grosso do Sul', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('6bbb7429-ece4-4a1c-952d-031bb58a47e6', '05455612501', 'Wilfred Cottle', '28/05/1971', '14/10/2022', 'M', 52, 'Maranhão', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('55e5e8d0-376b-4efe-bfeb-e5c84138575e', '21044907028', 'Shawna Skinn', '29/10/1956', '10/11/2021', 'M', 54, 'Mato Grosso do Sul', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('5209cfb6-bbb6-4cf4-86b6-afff6f6a48b3', '21233459166', 'Charil Alexandrescu', '13/12/1951', '19/04/2020', 'F', 22, 'Rio Grande do Sul', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('63f090ea-e650-4b66-9b7e-da4c8909e77b', '36740813484', 'Gwyneth Pawlick', '29/01/1977', '18/09/2020', 'F', 86, 'Rio de Janeiro', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('fad2795b-7dee-468e-8300-027893d1572e', '32807610054', 'Goldy Casburn', '05/02/1969', '22/08/2020', 'F', 93, 'Espírito Santo', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a498d4bf-365e-4969-8dcb-e6f5fc3b5c28', '33976873048', 'Bengt Ivashinnikov', '29/04/1990', '14/08/2021', 'M', 20, 'Rondonia', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('707e91cc-be05-40c6-8f75-a1957a773900', '89744155251', 'Felic Figgures', '23/06/1954', '27/12/2020', 'M', 14, 'Santa Catarina', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('562ca46e-c09e-47e9-b04a-5ed8ef01c191', '48358637666', 'Karlik Raccio', '31/10/1952', '24/02/2021', 'F', 61, 'Alagoas', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('dc855396-e294-4720-90f3-5d06033655c3', '39982252740', 'Laurianne Biffen', '24/04/2005', '21/01/2020', 'M', 67, 'Mato Grosso do Sul', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('4a2ef8b5-d732-476d-b982-daa9a2d631b0', '69053234137', 'Amabel Klulicek', '18/04/2003', '26/07/2020', 'M', 16, 'Bahia', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7f3103ca-6756-4ffc-947c-861453a9823a', '92343657021', 'Bambie Chastey', '28/11/1962', '05/02/2021', 'M', 15, 'Roraima', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('dcd82eda-83e6-481d-a25c-d43567cfcae6', '38279293222', 'Janot Ranahan', '28/05/1965', '16/04/2022', 'F', 89, 'Rondonia', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('e1cceda7-3367-4c9d-a519-137d628c1cbd', '47942612131', 'Davita Annear', '20/12/2006', '16/10/2020', 'M', 60, 'Pernambuco', 'ipsum', 'ipsum', 'ipsum');

Alter Table Cliente Add primary Key (id);

